"Pinterest Trends tool â€“ https://trends.pinterest.com/?trendsPreset=3&amp;keywordsToInclude=ethereal"
Selected Filters
Trends Type,Growing trends
Date Range,90 days before 2025-01-26
Interests,"All"
Include keywords,"ethereal"
Age,"All"
Gender,"All"

,,,,,Data in the date columns reflects the normalized search volume for this trend type
Rank,Trend,Weekly change,Monthly change,Yearly change,2024-11-03,2024-11-10,2024-11-17,2024-11-24,2024-12-01,2024-12-08,2024-12-15,2024-12-22,2024-12-29,2025-01-05,2025-01-12,2025-01-19,2025-01-26
1,ethereal prom dress,"-6%","100%","20%",10,10,30,33,28,29,41,44,41,43,88,100,93
2,ethereal hairstyles,"6%","80%","60%",38,30,44,37,46,44,44,54,62,70,77,94,100
3,ethereal wedding dress,"-6%","10%","200%",43,48,62,79,80,81,85,89,82,90,100,99,93
4,ethereal dresses,"-10%","20%","100%",39,58,61,72,76,87,85,63,83,80,98,100,88
5,ethereal outfits,"10%","20%","100%",40,45,47,47,75,70,60,51,58,59,64,87,100
6,ethereal garden wedding,"100%","60%","10,000%+",7,10,82,55,15,20,65,48,25,39,46,47,100
7,ethereal beauty,"30%","40%","20%",61,57,61,51,52,56,59,62,86,89,82,75,100
8,ethereal art dark,"20%","30%","8%",65,53,41,58,45,58,79,61,56,59,71,82,100
9,ethereal names,"20%","40%","100%",61,75,77,57,46,52,50,74,72,78,83,85,100
10,ethereal pfp,"-20%","30%","100%",59,59,66,62,72,59,62,64,64,77,74,100,84
11,ethereal photoshoot,"6%","30%","40%",62,65,83,80,72,73,78,73,66,72,95,94,100
12,ethereal tattoos,"-3%","-1%","-40%",31,32,38,100,100,55,59,56,53,49,64,62,60
13,ethereal dress,"-20%","-30%","-50%",26,23,21,20,21,37,100,37,27,27,37,37,28
14,ethereal art,"-9%","-1%","-10%",77,79,39,69,31,56,100,80,58,57,66,81,73